0.796047832684882 - 0.536672569659512i	0.368864410757543 - 0.745392870374448i	-0.0562288424243069 - 0.654075758449984i	-0.295611682327886 - 0.346826007677558i	-0.301405135880290 + 0.333124595785769i	-0.0678858052704331 + 0.664980426081060i	0.344403106576247 + 0.765387514268713i	0.795894942408748 + 0.514983580044846i
0.810246168071736 - 0.533275668266414i	0.370505457979487 - 0.732542782217582i	-0.137266442161522 - 0.670589095246475i	-0.298497364941854 - 0.350061276362143i	-0.294142673843782 + 0.360537790711481i	-0.121303361940063 + 0.649322931666541i	0.326836085579001 + 0.785409169188424i	0.762953317500810 + 0.484365975946877i
0.816931910302278 - 0.494232191595014i	0.370503015066666 - 0.790387476511067i	-0.0882420612810231 - 0.680316023905130i	-0.274065870008891 - 0.351750350589219i	-0.325714545719830 + 0.363738361095069i	-0.0720786779779151 + 0.624252015061565i	0.352385131615813 + 0.759536715958084i	0.813846076677990 + 0.482175526748208i
0.798676498070936 - 0.487812206695852i	0.300710502351837 - 0.737583955006339i	-0.0655911730296597 - 0.698041543118319i	-0.266591104932536 - 0.344781321015288i	-0.313117579495285 + 0.371907259775105i	-0.0984264786156785 + 0.706790128815129i	0.383326958729625 + 0.727489063020350i	0.777673137516322 + 0.503337627324880i
0.810117237921222 - 0.510483997261550i	0.319669404161754 - 0.754840837439518i	-0.0783557245262628 - 0.623976747452757i	-0.301523235758113 - 0.389627238267656i	-0.242283211876542 + 0.339798392890931i	-0.149821476325175 + 0.662625884257120i	0.332832789987984 + 0.759646874844403i	0.839772196078167 + 0.527569954267416i
0.794232475275151 - 0.477276207842812i	0.354474947839754 - 0.781456253529144i	-0.0713234880574424 - 0.646391578191458i	-0.284855632825888 - 0.360729424968875i	-0.292843182331666 + 0.356348872993298i	-0.105246077591525 + 0.662802101132965i	0.389295258923161 + 0.766222632906970i	0.815833622084675 + 0.534262667244257i
0.799432045733478 - 0.499281770831554i	0.349612351027435 - 0.753961015779903i	-0.0699155741001276 - 0.655037842083058i	-0.278793199739931 - 0.347293759337671i	-0.293601688462374 + 0.364201509872126i	-0.0769432728985409 + 0.626115857034969i	0.356886267549737 + 0.753461500741589i	0.797866251002760 + 0.498782532832703i
0.820780407000246 - 0.522530093320346i	0.337320225661777 - 0.742871075732136i	-0.0618580181826720 - 0.665896795231656i	-0.309836506821832 - 0.295705938337561i	-0.292308568635092 + 0.359265054584208i	-0.0646811819549200 + 0.707090510172442i	0.330152001034446 + 0.729081824690767i	0.841052376578447 + 0.490251240027846i
0.814370788932755 - 0.565212601922292i	0.381584816900238 - 0.754040048488621i	-0.0985075282137413 - 0.668909609734699i	-0.292995784225405 - 0.346122416659151i	-0.295991387614132 + 0.287484075379477i	-0.110897049984370 + 0.662964323450657i	0.379913350041155 + 0.781903511041905i	0.810552626121188 + 0.546728203142280i
0.795372988225068 - 0.542020849379480i	0.363391728162738 - 0.749891433042122i	-0.0271335753245508 - 0.673739609231373i	-0.306411908003286 - 0.342881016838756i	-0.316465078476933 + 0.350252995732684i	-0.111839904455506 + 0.633914603436435i	0.361844062616885 + 0.785525947694342i	0.835530191278392 + 0.508684054207642i
